ad_id,ad_url,ad_type,regions,advertiser_id,advertiser_name,ad_campaigns_list,date_range_start,date_range_end,num_of_days,impressions,spend_usd,first_served_timestamp,last_served_timestamp,age_targeting,gender_targeting,geo_targeting_included,geo_targeting_excluded,spend_range_min_usd,spend_range_max_usd,spend_range_min_eur,spend_range_max_eur,spend_range_min_inr,spend_range_max_inr,spend_range_min_bgn,spend_range_max_bgn,spend_range_min_hrk,spend_range_max_hrk,spend_range_min_czk,spend_range_max_czk,spend_range_min_dkk,spend_range_max_dkk,spend_range_min_huf,spend_range_max_huf,spend_range_min_pln,spend_range_max_pln,spend_range_min_ron,spend_range_max_ron,spend_range_min_sek,spend_range_max_sek,spend_range_min_gbp,spend_range_max_gbp,spend_range_min_nzd,spend_range_max_nzd
CR164429283874308096,https://transparencyreport.google.com/political-ads/library/advertiser/AR190231179645943808/creative/CR164429283874308096,Image,"CZ, EU",AR190231179645943808,Svobodní,,2019-05-04,2019-05-27,23,≤ 10k,,2019-05-04 07:00:00 UTC,2019-05-27 07:00:00 UTC,Not targeted,Not targeted,Czech Republic,Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR317237966793605120,https://transparencyreport.google.com/political-ads/library/advertiser/AR190231179645943808/creative/CR317237966793605120,Image,"CZ, EU",AR190231179645943808,Svobodní,,2019-04-28,2019-05-15,16,≤ 10k,,2019-04-28 07:00:00 UTC,2019-05-15 07:00:00 UTC,Not targeted,Not targeted,Czech Republic,Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR381167970879012864,https://transparencyreport.google.com/political-ads/library/advertiser/AR190231179645943808/creative/CR381167970879012864,Image,"CZ, EU",AR190231179645943808,Svobodní,,2019-05-17,2019-05-28,8,≤ 10k,,2019-05-17 07:00:00 UTC,2019-05-28 07:00:00 UTC,Not targeted,Not targeted,Czech Republic,Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR303702154021961728,https://transparencyreport.google.com/political-ads/library/advertiser/AR268709096956362752/creative/CR303702154021961728,Image,"CZ, EU",AR268709096956362752,TOP 09,,2019-03-28,2019-04-05,8,≤ 10k,,2019-03-28 07:00:00 UTC,2019-04-05 07:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age",Not targeted,"190 14,Prague,Czechia, 190 17,Prague,Czechia, 197 00,Prague,Czechia, 190 16,Prague,Czechia, 190 15,Prague,Czechia, 190 11,Prague,Czechia, 190 12,Prague,Czechia, 199 00,Prague,Czechia, 193 00,Prague,Czechia, 198 00,Prague,Czechia, 190 00,Prague,Czechia",Not targeted,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR335684748250710016,https://transparencyreport.google.com/political-ads/library/advertiser/AR268709096956362752/creative/CR335684748250710016,Image,"CZ, EU",AR268709096956362752,TOP 09,,2019-04-01,2019-04-05,5,≤ 10k,,2019-04-01 07:00:00 UTC,2019-04-05 07:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age",Not targeted,"190 14,Prague,Czechia, 190 17,Prague,Czechia, 197 00,Prague,Czechia, 190 16,Prague,Czechia, 190 15,Prague,Czechia, 190 11,Prague,Czechia, 190 12,Prague,Czechia, 199 00,Prague,Czechia, 193 00,Prague,Czechia, 198 00,Prague,Czechia, 190 00,Prague,Czechia",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR562105734649610240,https://transparencyreport.google.com/political-ads/library/advertiser/AR268709096956362752/creative/CR562105734649610240,Image,"CZ, EU",AR268709096956362752,TOP 09,,2020-08-17,2020-09-02,17,10k-100k,,2020-08-17 12:00:00 UTC,2020-09-03 05:15:00 UTC,Not targeted,Not targeted,"Liberec Region, Ceska Lipa, Jablonec nad Nisou, Liberec",Not targeted,0,100,0,50,250,2500,25,250,100,1500,0,1000,0,500,0,7500,0,100,75,750,0,750,0,50,0,200
CR100512405208956928,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR100512405208956928,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-04-09,2019-04-19,10,10k-100k,,2019-04-09 07:00:00 UTC,2019-04-19 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,250,2500,25,250,100,1500,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR107215028091879424,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR107215028091879424,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-04-28,2019-05-08,6,≤ 10k,,2019-04-26 07:00:00 UTC,2019-05-09 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR112251615980814336,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR112251615980814336,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-05-09,2019-05-19,11,≤ 10k,,2019-05-09 07:00:00 UTC,2019-05-19 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR176475464548745216,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR176475464548745216,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-04-10,2019-04-11,2,≤ 10k,,2019-04-10 07:00:00 UTC,2019-04-11 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
